Tiempo ,Entrada,ANGULO,POSICION
10.5,0.0,0.365,0.266
10.52,0.0,0.412,0.266
10.54,0.0,0.452,0.266
10.56,0.0,0.487,0.266
10.58,0.0,0.513,0.266
10.6,0.0,0.534,0.266
10.62,0.0,0.546,0.266
10.64,0.0,0.55,0.266
10.66,0.0,0.55,0.266
10.68,0.0,0.539,0.266
10.7,0.0,0.52,0.266
10.72,0.0,0.496,0.266
10.74,0.0,0.463,0.266
10.76,0.0,0.424,0.266
10.78,0.0,0.379,0.266
10.8,0.0,0.328,0.266
10.82,0.0,0.274,0.266
10.84,0.0,0.215,0.266
10.86,0.0,0.154,0.266
10.88,0.0,0.091,0.266
10.9,0.0,0.024,0.266
10.92,0.0,-0.04,0.266
10.94,0.0,-0.105,0.266
10.96,0.0,-0.168,0.266
10.98,0.0,-0.229,0.266
11.0,0.0,-0.286,0.266
11.02,0.0,-0.339,0.266
11.04,0.0,-0.387,0.266
11.06,0.0,-0.431,0.266
11.08,0.0,-0.466,0.266
11.1,0.0,-0.497,0.266
11.12,0.0,-0.52,0.266
11.14,0.0,-0.538,0.266
11.16,0.0,-0.545,0.266
11.18,0.0,-0.546,0.266
11.2,0.0,-0.541,0.266
11.22,0.0,-0.525,0.266
11.24,0.0,-0.504,0.266
11.26,0.0,-0.475,0.266
11.28,0.0,-0.438,0.266
11.3,0.0,-0.396,0.266
11.32,0.0,-0.349,0.266
11.34,0.0,-0.297,0.266
11.36,0.0,-0.239,0.266
11.38,0.0,-0.18,0.266
11.4,0.0,-0.117,0.266
11.42,0.0,-0.052,0.266
11.44,0.0,0.012,0.266
11.46,0.0,0.077,0.266
11.48,0.0,0.14,0.266
11.5,0.0,0.202,0.266
11.52,0.0,0.262,0.266
11.54,0.0,0.316,0.266
11.56,0.0,0.367,0.266
11.58,0.0,0.412,0.266
11.6,0.0,0.452,0.266
11.62,0.0,0.485,0.266
11.64,0.0,0.511,0.266
11.66,0.0,0.531,0.266
11.68,0.0,0.543,0.266
11.7,0.0,0.546,0.266
11.72,0.0,0.546,0.266
11.74,0.0,0.534,0.266
11.76,0.0,0.515,0.266
11.78,0.0,0.49,0.266
11.8,0.0,0.457,0.266
11.82,0.0,0.417,0.266
11.84,0.0,0.374,0.266
11.86,0.0,0.323,0.266
11.88,0.0,0.267,0.266
11.9,0.0,0.209,0.266
11.92,0.0,0.148,0.266
11.94,0.0,0.084,0.266
11.96,0.0,0.019,0.266
11.98,0.0,-0.044,0.266
12.0,0.0,-0.108,0.266
12.02,0.0,-0.171,0.266
12.04,0.0,-0.232,0.266
12.06,0.0,-0.288,0.266
12.08,0.0,-0.34,0.266
12.1,0.0,-0.387,0.266
12.12,0.0,-0.431,0.266
12.14,0.0,-0.466,0.266
12.16,0.0,-0.496,0.266
12.18,0.0,-0.518,0.266
12.2,0.0,-0.534,0.266
12.22,0.0,-0.541,0.266
12.24,0.0,-0.543,0.266
12.26,0.0,-0.536,0.266
12.28,0.0,-0.52,0.266
12.3,0.0,-0.497,0.266
12.32,0.0,-0.468,0.266
12.34,0.0,-0.431,0.266
12.36,0.0,-0.391,0.266
12.38,0.0,-0.342,0.266
12.4,0.0,-0.29,0.266
12.42,0.0,-0.234,0.266
12.44,0.0,-0.175,0.266
12.46,0.0,-0.112,0.266
12.48,0.0,-0.047,0.266
12.5,0.0,0.017,0.266
12.52,0.0,0.082,0.266
12.54,0.0,0.145,0.266
12.56,0.0,0.206,0.266
12.58,0.0,0.264,0.266
12.6,0.0,0.318,0.266
12.62,0.0,0.368,0.266
12.64,0.0,0.412,0.266
12.66,0.0,0.452,0.266
12.68,0.0,0.485,0.266
12.7,0.0,0.51,0.266
12.72,0.0,0.529,0.266
12.74,0.0,0.539,0.266
12.76,0.0,0.543,0.266
12.78,0.0,0.541,0.266
12.8,0.0,0.529,0.266
12.82,0.0,0.51,0.266
12.84,0.0,0.483,0.266
12.86,0.0,0.45,0.266
12.88,0.0,0.41,0.266
12.9,0.0,0.367,0.266
12.92,0.0,0.316,0.266
12.94,0.0,0.262,0.266
12.96,0.0,0.202,0.266
12.98,0.0,0.141,0.266
13.0,0.0,0.079,0.266
13.02,0.0,0.014,0.266
13.04,0.0,-0.049,0.266
13.06,0.0,-0.113,0.266
13.08,0.0,-0.176,0.266
13.1,0.0,-0.234,0.266
13.12,0.0,-0.29,0.266
13.14,0.0,-0.342,0.266
13.16,0.0,-0.389,0.266
13.18,0.0,-0.431,0.266
13.2,0.0,-0.466,0.266
13.22,0.0,-0.494,0.266
13.24,0.0,-0.517,0.266
13.26,0.0,-0.531,0.266
13.28,0.0,-0.538,0.266
13.3,0.0,-0.539,0.266
13.32,0.0,-0.531,0.266
13.34,0.0,-0.515,0.266
13.36,0.0,-0.492,0.266
13.38,0.0,-0.463,0.266
13.4,0.0,-0.426,0.266
13.42,0.0,-0.384,0.266
13.44,0.0,-0.335,0.266
13.46,0.0,-0.283,0.266
13.48,0.0,-0.227,0.266
13.5,0.0,-0.168,0.266
13.52,0.0,-0.105,0.266
13.54,0.0,-0.042,0.266
13.56,0.0,0.023,0.266
13.58,0.0,0.087,0.266
13.6,0.0,0.148,0.266
13.62,0.0,0.209,0.266
13.64,0.0,0.267,0.266
13.66,0.0,0.321,0.266
13.68,0.0,0.37,0.266
13.7,0.0,0.412,0.266
13.72,0.0,0.452,0.266
13.74,0.0,0.483,0.266
13.76,0.0,0.508,0.266
13.78,0.0,0.525,0.266
13.8,0.0,0.536,0.266
13.82,0.0,0.539,0.266
13.84,0.0,0.536,0.266
13.86,0.0,0.524,0.266
13.88,0.0,0.504,0.266
13.9,0.0,0.478,0.266
13.92,0.0,0.443,0.266
13.94,0.0,0.405,0.266
13.96,0.0,0.36,0.266
13.98,0.0,0.309,0.266
14.0,0.0,0.255,0.266
14.02,0.0,0.195,0.266
14.04,0.0,0.134,0.266
14.06,0.0,0.073,0.266
14.08,0.0,0.009,0.266
14.1,0.0,-0.054,0.266
14.12,0.0,-0.119,0.266
14.14,0.0,-0.18,0.266
14.16,0.0,-0.237,0.266
14.18,0.0,-0.291,0.266
14.2,0.0,-0.344,0.266
14.22,0.0,-0.391,0.266
14.24,0.0,-0.431,0.266
14.26,0.0,-0.464,0.266
14.28,0.0,-0.492,0.266
14.3,0.0,-0.515,0.266
14.32,0.0,-0.527,0.266
14.34,0.0,-0.534,0.266
14.36,0.0,-0.534,0.266
14.38,0.0,-0.525,0.266
14.4,0.0,-0.51,0.266
14.42,0.0,-0.487,0.266
14.44,0.0,-0.456,0.266
14.46,0.0,-0.419,0.266
14.48,0.0,-0.377,0.266
14.5,0.0,-0.328,0.266
14.52,0.0,-0.276,0.266
14.54,0.0,-0.22,0.266
14.56,0.0,-0.161,0.266
14.58,0.0,-0.099,0.266
14.6,0.0,-0.037,0.266
14.62,0.0,0.028,0.266
14.64,0.0,0.091,0.266
14.66,0.0,0.154,0.266
14.68,0.0,0.213,0.266
14.7,0.0,0.269,0.266
14.72,0.0,0.323,0.266
14.74,0.0,0.37,0.266
14.76,0.0,0.414,0.266
14.78,0.0,0.45,0.266
14.8,0.0,0.482,0.266
14.82,0.0,0.506,0.266
14.84,0.0,0.522,0.266
14.86,0.0,0.532,0.266
14.88,0.0,0.536,0.266
14.9,0.0,0.531,0.266
14.92,0.0,0.518,0.266
14.94,0.0,0.497,0.266
14.96,0.0,0.471,0.266
14.98,0.0,0.438,0.266
15.0,0.0,0.398,0.266
15.02,0.0,0.353,0.266
15.04,0.0,0.302,0.266
15.06,0.0,0.248,0.266
15.08,0.0,0.19,0.266
15.1,0.0,0.129,0.266
15.12,0.0,0.068,0.266
15.14,0.0,0.003,0.266
15.16,0.0,-0.059,0.266
15.18,0.0,-0.122,0.266
15.2,0.0,-0.182,0.266
15.22,0.0,-0.239,0.266
15.24,0.0,-0.295,0.266
15.26,0.0,-0.346,0.266
15.28,0.0,-0.391,0.266
15.3,0.0,-0.431,0.266
15.32,0.0,-0.464,0.266
15.34,0.0,-0.49,0.266
15.36,0.0,-0.511,0.266
15.38,0.0,-0.524,0.266
15.4,0.0,-0.531,0.266
15.42,0.0,-0.531,0.266
15.44,0.0,-0.52,0.266
15.46,0.0,-0.504,0.266
15.48,0.0,-0.48,0.266
15.5,0.0,-0.45,0.266
15.52,0.0,-0.414,0.266
15.54,0.0,-0.37,0.266
15.56,0.0,-0.323,0.266
15.58,0.0,-0.271,0.266
15.6,0.0,-0.213,0.266
15.62,0.0,-0.154,0.266
15.64,0.0,-0.094,0.266
15.66,0.0,-0.031,0.266
15.68,0.0,0.033,0.266
15.7,0.0,0.096,0.266
15.72,0.0,0.157,0.266
15.74,0.0,0.215,0.266
15.76,0.0,0.271,0.266
15.78,0.0,0.323,0.266
15.8,0.0,0.372,0.266
15.82,0.0,0.414,0.266
15.84,0.0,0.45,0.266
15.86,0.0,0.48,0.266
15.88,0.0,0.504,0.266
15.9,0.0,0.52,0.266
15.92,0.0,0.529,0.266
15.94,0.0,0.531,0.266
15.96,0.0,0.525,0.266
15.98,0.0,0.513,0.266
16.0,0.0,0.492,0.266
16.02,0.0,0.466,0.266
16.04,0.0,0.431,0.266
16.06,0.0,0.391,0.266
16.08,0.0,0.346,0.266
16.1,0.0,0.295,0.266
16.12,0.0,0.241,0.266
16.14,0.0,0.183,0.266
16.16,0.0,0.124,0.266
16.18,0.0,0.061,0.266
16.2,0.0,-0.002,0.266
16.22,0.0,-0.065,0.266
16.24,0.0,-0.126,0.266
16.26,0.0,-0.185,0.266
16.28,0.0,-0.243,0.266
16.3,0.0,-0.297,0.266
16.32,0.0,-0.347,0.266
16.34,0.0,-0.391,0.266
16.36,0.0,-0.431,0.266
16.38,0.0,-0.463,0.266
16.4,0.0,-0.489,0.266
